device_age_days,device_type,accounts_per_device,emulator_detected,rooted_or_jailbroken,vpn_used,ip_changes_24h,geo_distance_km,login_frequency,failed_login_attempts,device_risk_label
1056,2,1,0,0,0,9,282,41,6,0
870,2,2,0,0,0,7,854,5,1,0
430,1,0,0,1,0,5,1307,17,2,0
17,2,3,0,0,0,9,2236,35,3,1
647,2,2,0,0,0,1,2263,31,6,0
1090,1,5,1,1,0,9,2996,17,7,1
220,0,0,0,0,0,0,2193,49,6,0
1383,2,0,0,0,1,4,126,11,1,0
1292,0,0,0,0,0,5,1398,20,0,0
1077,1,4,0,1,0,6,187,25,4,1
218,2,0,0,0,0,7,1390,14,5,0
1426,1,4,0,0,0,1,2452,41,2,0
202,1,4,0,0,0,0,966,32,7,0
1254,0,3,0,0,0,5,2476,8,3,0
292,2,3,0,0,0,4,1684,29,1,0
285,0,5,0,0,0,9,292,20,7,0
895,0,0,0,0,0,6,582,44,7,1
1165,0,3,0,0,0,5,332,8,2,0
1318,0,5,0,0,0,8,2965,36,2,0
1381,0,5,0,0,0,7,2125,44,7,1
1254,1,0,0,0,1,3,2652,40,0,0
1122,0,2,0,0,1,2,1661,43,2,0
626,1,3,0,0,0,8,900,28,5,1
788,1,1,0,1,1,2,738,19,6,0
1471,0,0,0,0,0,1,779,10,4,0
1236,0,5,0,1,1,8,2640,12,4,1
766,0,4,0,0,0,1,893,3,0,0
1125,1,1,0,0,0,0,2631,30,0,0
1424,1,4,0,0,0,7,44,18,6,1
415,0,4,0,0,0,5,105,48,2,0
1378,1,5,0,0,1,8,135,34,6,1
577,2,5,0,0,0,9,2067,17,6,1
850,1,4,0,0,1,1,1044,39,6,1
1344,0,3,0,1,0,9,1955,12,4,1
832,0,2,0,1,0,8,2314,34,3,1
897,1,5,0,0,0,5,66,17,7,0
178,2,2,0,0,1,4,1453,21,4,0
1108,2,4,0,0,0,7,2087,6,6,1
1242,1,5,0,0,1,0,1714,34,5,1
1325,1,3,0,0,0,6,645,38,6,1
825,0,5,0,0,1,9,1781,42,1,1
436,0,5,0,0,1,8,1856,35,2,1
618,0,1,0,0,1,3,1138,50,6,1
1459,1,0,0,1,0,5,759,17,7,0
686,0,0,0,0,0,8,964,13,5,0
1266,0,2,0,0,1,8,2399,41,5,1
1160,0,5,0,0,0,9,2167,25,3,0
