pin_code,low_risk_count_0,high_risk_count_1,total_customers,state,zone,district,latitude,longitude
788101,7,9,16,Assam,,Cachar,24.80500926619103,92.90125159311887
523135,16,10,26,Andhra Pradesh,Vijayawada,Prakasam,15.687263840108418,80.24904419189434
788103,8,7,15,Assam,,Cachar,24.797821512775947,93.0170775781744
788102,9,8,17,Assam,,Cachar,24.873752880161717,93.01409533029218
788104,8,7,15,Assam,,Cachar,24.82489003520188,93.1152879085098
306104,8,4,12,Rajasthan,Jodhpur,Pali,26.005807236236084,73.5819965339608
306105,8,8,16,Rajasthan,Jodhpur,Pali,26.112055437885623,74.08618593464472
306101,6,10,16,Rajasthan,Jodhpur,Pali,26.320032731612017,74.25294074389824
306102,11,4,15,Rajasthan,Jodhpur,Pali,26.15900933361663,74.17033944635644
306103,15,10,25,Rajasthan,Jodhpur,Pali,25.825581290476457,73.78649512180208
333705,10,10,20,Rajasthan,,Jhunjhunu,27.957002456630512,75.2458944538508
535124,5,5,10,Andhra Pradesh,Visakhapatnam,Parvathipuram,18.48606586350065,83.47127261924966
535125,11,6,17,Andhra Pradesh,Visakhapatnam,Parvathipuram,18.286636895332645,83.63637177750067
333704,10,10,20,Rajasthan,,Jhunjhunu,28.076299972911162,75.1733302623972
333707,8,6,14,Rajasthan,,Jhunjhunu,27.97198855219135,75.34254295497755
535126,8,8,16,Andhra Pradesh,Visakhapatnam,Parvathipuram,18.493520363282162,83.53187256505427
788107,12,5,17,Assam,,Cachar,24.89470257914107,93.11671599691853
333701,9,11,20,Rajasthan,,Jhunjhunu,27.98644309339678,75.19193875475955
788106,6,10,16,Assam,,Cachar,24.732735321373994,93.05732966846209
788109,5,12,17,Assam,,Cachar,24.896570224356232,92.96537000754424
333702,10,9,19,Rajasthan,,Jhunjhunu,27.898138867768285,75.22501701722555
788108,6,11,17,Assam,,Cachar,24.98839546843936,93.00209763903372
788110,6,14,20,Assam,,Cachar,24.917169388009548,92.71783401652266
788112,7,16,23,Assam,,Cachar,24.68685744897092,92.80753160024142
788111,10,7,17,Assam,,Cachar,24.992510364190622,92.78763676197474
788114,12,8,20,Assam,,Cachar,24.59239394239597,92.84533137427591
284206,12,7,19,Uttar Pradesh,Agra,Jhansi,25.487654695940076,79.12861485851201
788113,9,7,16,Assam,,Cachar,24.57311063125978,92.71948057313033
284205,10,6,16,Uttar Pradesh,Agra,Jhansi,25.314723719387267,78.97376502330478
788116,12,6,18,Assam,,Cachar,24.63247696557013,92.91134504292715
788115,11,9,20,Assam,,Cachar,24.70307261600275,92.85290364878252
284204,12,6,18,Uttar Pradesh,Agra,Jhansi,25.347966082890185,79.18753049639783
306115,6,9,15,Rajasthan,Jodhpur,Pali,25.379979086325758,73.27568657024813
284203,12,5,17,Uttar Pradesh,Agra,Jhansi,25.56899179870463,79.32665080357339
306116,16,14,30,Rajasthan,Jodhpur,Pali,25.270543677975454,73.24598144093645
284202,11,12,23,Uttar Pradesh,Agra,Jhansi,25.627613469580414,79.096357367591
284201,10,7,17,Uttar Pradesh,Agra,Jhansi,25.39779980785011,78.73235579503218
306114,12,9,21,Rajasthan,Jodhpur,Pali,25.907848527505507,73.88168356490807
752121,14,9,23,Odisha,Bhubaneswar HQ,Puri,19.976472789517082,85.94823360557466
752120,7,12,19,Odisha,Bhubaneswar HQ,Cuttack City,20.039125820606348,86.11997171986746
788118,12,8,20,Assam,,Cachar,24.736286327800038,92.76920827953606
523105,13,10,23,Andhra Pradesh,Vijayawada,Prakasam,15.188226795115146,79.93654619286127
788117,4,14,18,Assam,,Cachar,24.664828792087203,92.74905112256238
523108,6,10,16,Andhra Pradesh,Vijayawada,Markapur,15.154141090283282,79.37927396670621
788119,16,7,23,Assam,,Cachar,24.726986433622002,92.91666131006875
523109,7,8,15,Andhra Pradesh,Vijayawada,Prakasam,15.24690216786492,79.74618033917196
788121,7,9,16,Assam,,Cachar,24.6805817159854,92.87439265035819
788120,7,4,11,Assam,,Cachar,24.481782295909962,92.86261592059925
788123,10,8,18,Assam,,Cachar,24.63084956461763,92.864012352792
523111,10,7,17,Andhra Pradesh,Vijayawada,Markapur,15.340132738434297,79.65291770334619
523110,8,7,15,Andhra Pradesh,Vijayawada,Prakasam,15.085133404778482,79.51099027600931
523113,8,9,17,Andhra Pradesh,Vijayawada,Prakasam,15.14541741568359,79.83303157944181
523112,6,7,13,Andhra Pradesh,Vijayawada,Markapur,15.169581116278367,79.18783276812562
788127,9,4,13,Assam,,Cachar,24.943746745587756,92.70356993527515
523115,12,9,21,Andhra Pradesh,Vijayawada,Prakasam,15.011003623962383,79.84429706217172
788126,12,7,19,Assam,,Cachar,24.741369549293697,92.98303063380068
523114,11,7,18,Andhra Pradesh,Vijayawada,Prakasam,15.081026553738477,79.6856024912484
752118,16,9,25,Odisha,Bhubaneswar HQ,Puri,19.949927179224265,86.18077096105101
752119,6,6,12,Odisha,Bhubaneswar HQ,Puri,20.02154452247594,86.25323317772609
752114,11,10,21,Odisha,Bhubaneswar HQ,Puri,20.09685605056022,85.93888055216686
752115,9,3,12,Odisha,Bhubaneswar HQ,Bhubaneswar,20.27120518961935,85.93894188802719
752116,13,7,20,Odisha,Bhubaneswar HQ,Puri,19.980785594994593,86.07731916980542
560100,6,3,9,Karnataka,Bengaluru HQ,Bengaluru South,12.851009256100756,77.66490185259507
535101,12,12,24,Andhra Pradesh,Visakhapatnam,Parvathipuram,18.283122424838982,83.52293073631655
560102,8,4,12,Karnataka,Bengaluru HQ,Bengaluru South,12.911422812420051,77.65407795047324
535102,11,10,21,Andhra Pradesh,Visakhapatnam,Parvathipuram,18.395494029200528,83.44659924119384
560103,10,6,16,Karnataka,Bengaluru HQ,Bengaluru East,12.929985425023522,77.687244527617
560104,14,7,21,Karnataka,Bengaluru HQ,Bengaluru West,12.96247874225009,77.53826440005378
560105,10,10,20,Karnataka,Bengaluru HQ,Bengaluru South,12.790380302388733,77.64697699703711
523117,9,8,17,Andhra Pradesh,Vijayawada,Markapur,15.23528101403537,79.54214658381149
560107,4,7,11,Karnataka,Bengaluru HQ,Bengaluru West,13.086973622361418,77.48306983129886
523116,8,7,15,Andhra Pradesh,Vijayawada,Prakasam,15.135416604277,79.65604384142154
560108,11,11,22,Karnataka,Bengaluru HQ,Bengaluru South,12.852986058149439,77.55975605432869
560109,7,5,12,Karnataka,Bengaluru HQ,Bengaluru South,12.864644470621208,77.52615011860775
272201,11,8,19,Uttar Pradesh,Gorakhpur,Basti,27.45610835608262,82.83330471296745
272202,9,3,12,Uttar Pradesh,Gorakhpur,Basti,27.408640893891913,83.11274235205217
272203,9,11,20,Uttar Pradesh,Gorakhpur,Basti,27.32020150621147,83.09342106226482
272204,6,1,7,Uttar Pradesh,Gorakhpur,Basti,27.32816912517959,82.9938635858854
272205,9,9,18,Uttar Pradesh,Gorakhpur,Basti,27.3993031485542,82.95442659513245
272206,10,7,17,Uttar Pradesh,Gorakhpur,Basti,27.346516638941786,83.20108398663456
272207,11,5,16,Uttar Pradesh,Gorakhpur,Basti,27.2668340608797,83.05842466522475
272208,11,8,19,Uttar Pradesh,Gorakhpur,Basti,27.219154269968758,83.11963038692063
752100,9,5,14,Odisha,Bhubaneswar HQ,Bhubaneswar,20.2177566022931,85.91031400519512
752101,12,12,24,Odisha,Bhubaneswar HQ,Bhubaneswar,20.300818449727313,85.90676379610309
752102,7,6,13,Odisha,Bhubaneswar HQ,Bhubaneswar,20.17771209469141,85.9611269375067
491881,7,6,13,Chattisgarh,,Rajnandgaon,21.40267704610148,80.88348708608727
491888,7,10,17,Chattisgarh,,Rajnandgaon,21.685871234587765,80.94566213126319
523171,8,2,10,Andhra Pradesh,Vijayawada,Prakasam,16.019352437099016,80.24320705653116
523170,13,6,19,Andhra Pradesh,Vijayawada,Prakasam,15.873473369834809,80.27404309501925
