courier_risk_score,delivery_attempts,delivery_delay_days,otp_confirmation,delivery_photo,pickup_delay_days,pickup_attempts,tamper_route,distance_km,weight_mismatch,logistics_risk_label
0.83,3,12,0,1,14,4,1,1102,1,1
0.26,3,0,1,0,4,1,0,1465,0,0
0.82,1,5,1,1,8,3,0,1156,0,0
0.09,5,12,1,1,13,3,0,2120,0,0
0.26,2,14,1,1,0,1,0,154,0,0
0.20,1,0,1,0,5,1,0,2465,0,0
0.48,3,11,1,1,5,4,0,1927,0,0
0.66,3,6,1,1,7,4,0,2050,0,1
0.93,1,0,0,1,4,2,1,2197,1,1
0.20,5,13,0,1,11,4,0,667,0,0
0.45,2,9,1,1,2,4,0,234,0,0
0.53,1,12,1,1,13,3,0,670,0,0
0.19,4,1,1,1,14,2,1,1473,1,1
0.25,3,9,1,0,8,2,1,676,0,0
0.87,1,11,1,1,13,2,0,1559,0,1
0.66,5,10,1,1,8,4,0,224,0,1
0.64,5,7,1,1,8,4,0,368,0,1
0.96,2,3,1,1,10,2,0,580,0,0
0.49,5,12,1,1,11,4,0,1630,0,1
0.96,4,6,1,0,8,4,1,784,0,1
0.41,2,14,1,1,4,1,1,27,1,0
0.29,5,13,1,1,9,4,0,2381,1,0
0.09,1,9,1,0,6,3,0,1840,1,1
0.83,4,12,0,1,0,1,0,714,0,0
0.75,5,8,0,0,6,4,1,470,0,1
0.10,1,11,0,0,13,4,0,245,0,0
0.44,2,6,1,1,8,3,1,566,0,0
0.77,5,12,1,1,10,3,1,32,0,1
0.11,5,14,1,1,2,3,0,110,0,0
0.23,2,8,1,1,4,1,0,297,0,0
0.03,1,10,1,1,13,2,0,1390,0,0
0.92,1,3,1,1,9,1,0,1338,0,0
0.32,1,8,0,0,7,1,0,2461,0,1
0.20,2,1,1,0,9,1,0,1160,0,0
0.12,1,1,1,1,1,2,0,2236,0,0
0.26,2,9,1,1,6,4,0,2199,0,0
0.65,1,14,1,0,8,2,0,2124,0,1
0.11,5,0,1,1,0,2,0,2097,0,0
0.04,2,4,0,1,2,1,0,2376,1,0
0.91,2,14,0,1,13,1,0,2429,0,1
0.01,2,2,1,0,9,2,1,192,0,0
0.34,3,8,1,0,8,3,0,2395,0,1
0.42,5,7,1,1,8,4,1,1767,0,1
0.24,2,4,1,1,8,3,0,2162,0,0
0.54,3,5,1,1,14,3,0,184,0,0
0.16,2,5,1,1,3,2,0,2365,1,0
0.09,4,2,0,1,2,4,0,2023,0,0
0.94,4,11,1,1,2,2,0,1991,0,0
0.02,3,9,1,1,11,2,0,1497,0,0
0.30,5,4,1,1,11,3,0,2077,0,0
0.57,3,0,0,0,10,3,0,639,1,1
0.03,2,2,1,0,9,1,0,27,0,0
0.15,1,3,1,0,7,4,0,1217,0,1
0.14,2,9,1,1,9,3,1,518,0,0
0.92,3,5,1,1,13,1,0,632,0,1
0.28,4,9,1,1,0,1,0,2256,0,0
0.12,3,2,1,1,2,1,0,566,0,0
0.35,3,1,1,0,5,2,0,1588,1,0
0.93,4,14,0,0,1,2,0,601,0,0
0.49,3,1,1,0,6,4,0,1899,0,0
0.02,3,6,0,1,13,4,0,827,0,1
0.97,5,13,1,0,8,3,0,2075,0,1
0.73,3,2,1,1,7,4,0,262,0,1
0.77,3,2,0,1,14,1,0,1566,0,0
0.50,5,7,1,1,3,3,0,1561,0,0
0.81,2,0,1,0,7,4,0,2338,0,1
0.68,1,5,1,1,2,3,0,990,1,0
0.73,1,3,1,1,5,3,0,688,0,0
0.99,5,2,1,1,13,2,1,882,0,1
0.86,2,0,1,1,13,4,0,2081,0,0
0.98,5,1,0,1,4,4,1,1952,0,1
0.30,4,11,1,0,14,1,0,724,1,1
0.29,3,11,1,1,7,2,0,2457,0,0
0.29,5,0,1,0,1,4,1,1065,0,0
0.34,3,14,1,0,1,1,1,2438,0,1
0.09,1,4,0,0,14,3,0,2216,1,1
0.86,1,3,1,1,6,3,0,592,0,0
0.31,1,7,0,1,6,2,0,387,1,1
0.63,3,0,0,0,3,3,0,371,0,1
0.73,5,4,1,1,6,1,0,372,0,0
0.59,3,12,1,1,12,4,0,299,0,0
0.05,3,0,0,1,14,4,0,1082,0,0
0.28,5,12,0,0,0,3,0,1720,0,1
0.19,1,13,1,1,0,4,0,510,0,0
0.03,1,3,0,1,3,1,0,2314,0,0
0.36,5,9,1,1,9,4,0,938,0,0
0.88,4,7,0,1,1,2,0,1750,0,1
0.46,4,9,1,0,13,3,0,1826,0,1
0.19,4,14,1,0,10,2,0,638,1,1
