order_value,item_quantity,identical_items,payment_method,failed_payment_attempts,order_hour,checkout_time_sec,address_mismatch,order_velocity,customer_tenure_days,order_risk_label
35679.38,5,1,1,0,16,221,0,1,1405,0
25241.14,2,2,1,2,22,594,1,1,465,1
28263.16,9,3,0,3,1,285,1,3,937,1
6889.15,3,0,1,1,2,607,1,4,75,0
40272.40,1,0,0,4,16,557,1,8,365,0
5720.78,7,1,1,0,4,338,1,6,414,1
24180.67,9,8,0,2,3,85,1,6,723,1
4211.19,7,1,1,4,23,131,1,5,61,1
24326.00,6,4,0,0,2,225,1,7,1035,1
4434.27,2,1,0,3,6,348,1,5,947,1
3762.07,1,0,1,0,18,23,0,8,453,0
1142.67,6,0,0,0,3,364,0,2,583,0
29754.29,10,7,0,2,5,164,1,5,498,1
35869.41,9,9,0,0,9,525,1,2,806,0
9069.11,7,2,0,3,19,26,0,8,230,1
5791.63,8,2,0,0,12,105,0,8,1288,0
11906.66,6,2,1,1,3,165,1,4,1056,1
21338.95,8,1,0,3,8,273,0,4,1449,0
7169.81,5,5,0,4,19,394,1,2,810,0
22458.36,1,0,0,3,23,53,1,7,1493,1
31480.98,6,0,0,1,18,243,0,3,1139,0
23471.11,1,1,1,1,13,347,0,3,183,0
31440.01,9,7,1,1,8,203,1,2,1377,1
18668.12,2,0,0,3,19,483,1,4,1256,0
15439.94,9,9,1,4,6,498,1,6,418,1
28606.46,1,1,1,0,22,496,1,1,36,0
26746.29,3,0,1,4,16,149,0,1,346,0
17511.43,7,5,0,0,20,53,1,6,1365,1
34009.42,7,1,1,1,10,467,0,6,1077,1
26793.90,9,0,1,2,5,445,1,4,1321,1
5197.69,9,8,1,2,22,545,1,8,300,0
16546.64,9,4,1,3,10,138,0,8,1066,1
2585.33,1,1,1,0,14,61,1,8,902,1
20612.38,8,5,1,0,6,461,1,3,708,1
30213.17,9,6,0,2,5,194,1,6,501,1
22236.61,2,1,1,3,5,167,0,7,133,1
21668.60,1,1,0,0,4,113,1,7,324,0
25655.66,10,3,0,2,9,163,0,1,703,1
16738.66,2,1,1,0,11,585,0,4,1163,0
26330.95,7,3,1,3,0,316,0,5,61,1
11542.74,6,2,1,2,19,50,0,2,278,0
7686.78,1,0,0,2,7,523,0,3,538,0
38843.67,7,1,1,2,22,543,0,7,749,0
26944.68,4,3,1,0,16,338,0,7,1128,0
34692.03,4,3,0,1,23,180,1,6,1158,0
30321.36,8,3,0,2,23,136,0,5,1345,0
28283.45,2,0,1,1,20,430,1,2,1150,0
19784.59,1,0,1,4,0,232,1,8,188,1
14712.21,8,0,0,0,0,87,1,2,801,0
25382.06,6,4,0,1,21,609,0,1,1098,0
2234.03,1,1,0,2,23,256,1,5,404,0
29128.09,8,4,0,4,14,417,0,3,1070,1
5362.36,8,2,1,4,6,63,0,2,597,0
38739.92,5,1,0,2,5,147,0,4,1233,0
37511.61,5,1,1,1,18,382,1,5,830,1
6405.30,9,6,1,3,18,570,0,6,158,1
21011.98,5,0,0,1,19,292,1,4,732,1
30972.01,1,0,1,2,15,319,0,8,549,0
34299.90,4,2,1,3,11,374,0,1,628,0
12619.71,2,1,1,3,14,53,1,2,1271,1
19761.88,2,2,1,3,14,593,1,4,1456,0
18945.00,9,1,1,2,9,38,1,7,839,0
26301.14,7,1,1,4,15,406,1,3,90,1
9950.79,10,7,1,3,6,82,1,7,372,1
16098.46,6,0,1,4,18,466,0,8,438,0
15547.07,9,5,1,4,1,354,0,3,857,1
27133.00,3,2,1,1,4,405,1,1,864,0
23279.66,1,0,1,0,2,172,1,1,795,0
30231.87,10,2,0,1,11,378,0,2,1355,0
15971.09,2,0,1,2,6,540,1,8,152,0
16863.18,3,3,1,2,12,95,0,3,1253,0
