seller_age_days,verification_level,total_orders,seller_return_rate,seller_dispute_rate,wrong_item_rate,damaged_item_rate,avg_product_price,refund_before_inspection,negative_feedback_rate,seller_risk_label
382,2,2130,0.06,0.00,0.15,0.16,9348.29,1,0.02,0
53,1,1465,0.82,0.22,0.23,0.39,8766.33,0,0.11,1
1359,1,1875,0.26,0.14,0.05,0.31,8445.33,1,0.24,0
598,1,1760,0.81,0.46,0.21,0.32,10244.94,1,0.05,0
1806,0,3827,0.39,0.01,0.24,0.35,5971.29,1,0.16,1
917,1,243,0.14,0.29,0.23,0.25,2508.69,0,0.13,0
31,2,3973,0.50,0.17,0.20,0.26,8065.15,0,0.23,0
1109,2,1601,0.45,0.22,0.36,0.11,6724.17,0,0.29,0
1715,0,810,0.28,0.25,0.24,0.08,6399.00,1,0.59,1
60,2,3565,0.69,0.02,0.15,0.16,2275.08,1,0.59,1
1387,0,4365,0.11,0.25,0.19,0.31,3459.17,1,0.45,1
915,1,1123,0.38,0.29,0.06,0.25,10396.16,1,0.34,1
1540,1,1847,0.06,0.13,0.15,0.29,12659.92,1,0.25,0
1642,1,494,0.82,0.31,0.04,0.12,3561.69,0,0.01,0
219,1,2075,0.22,0.31,0.20,0.07,1161.51,1,0.01,0
4,2,176,0.11,0.18,0.21,0.28,11928.43,0,0.15,0
585,1,4214,0.41,0.21,0.09,0.33,6350.20,0,0.30,1
1055,2,3281,0.46,0.23,0.17,0.26,10071.90,1,0.19,1
1071,0,1900,0.30,0.25,0.19,0.30,15272.22,0,0.39,1
1804,2,4465,0.52,0.11,0.23,0.18,6152.51,0,0.16,0
1895,2,804,0.99,0.46,0.37,0.31,12907.59,1,0.47,1
1859,2,3593,0.57,0.47,0.24,0.20,1035.33,0,0.07,0
573,2,1113,0.70,0.01,0.27,0.18,11329.76,1,0.53,1
1147,1,1360,0.89,0.17,0.10,0.28,13461.95,0,0.60,0
610,1,4941,0.99,0.04,0.10,0.25,10293.34,0,0.37,0
1691,0,4314,0.04,0.26,0.19,0.21,4576.90,0,0.17,1
1587,2,1422,0.83,0.33,0.36,0.04,14975.08,1,0.08,1
655,0,3858,0.03,0.14,0.35,0.39,12976.10,0,0.01,0
764,0,4013,0.65,0.09,0.12,0.17,624.08,1,0.48,1
887,0,3177,0.36,0.50,0.02,0.31,4442.41,1,0.48,1
153,0,2874,0.33,0.04,0.15,0.24,9433.59,0,0.36,0
260,1,3355,0.66,0.50,0.29,0.34,6751.90,0,0.13,1
1880,0,3145,0.79,0.06,0.35,0.09,8383.64,1,0.25,1
1866,0,2109,0.96,0.41,0.02,0.01,13599.52,0,0.00,0
1183,0,4868,0.98,0.42,0.25,0.19,1781.71,1,0.20,1
782,1,1167,0.71,0.17,0.32,0.13,1769.09,0,0.57,0
1332,1,3087,0.83,0.31,0.39,0.29,14665.46,0,0.30,1
1180,1,3676,0.50,0.01,0.32,0.17,4992.18,0,0.32,1
59,2,4255,0.58,0.29,0.23,0.21,2993.32,0,0.21,0
847,0,312,0.96,0.39,0.32,0.26,10509.39,1,0.60,1
300,1,4929,0.58,0.11,0.01,0.00,14744.32,0,0.22,0
1725,2,1545,0.36,0.11,0.26,0.38,14076.59,0,0.15,1
1591,1,873,0.10,0.49,0.11,0.23,5590.22,0,0.26,0
1115,2,1635,0.68,0.26,0.40,0.25,4643.40,0,0.32,1
1829,2,3539,0.23,0.05,0.16,0.23,7508.02,1,0.43,0
773,0,1026,0.01,0.10,0.09,0.23,7185.75,0,0.34,0
827,0,1873,0.91,0.43,0.06,0.20,7954.87,0,0.45,1
1286,0,2621,0.43,0.14,0.28,0.34,14044.15,0,0.10,1
342,2,1065,0.97,0.10,0.08,0.17,11125.94,1,0.08,1
1427,0,2751,0.44,0.25,0.07,0.20,6878.56,0,0.38,1
1298,0,2819,0.92,0.10,0.34,0.33,9897.68,1,0.52,1
158,1,1996,0.02,0.02,0.27,0.11,15245.87,1,0.09,0
841,2,1407,0.61,0.21,0.22,0.33,8980.83,0,0.39,1
1618,1,3712,0.80,0.36,0.31,0.34,13779.82,0,0.09,1
1001,1,2682,0.49,0.26,0.11,0.24,3951.05,1,0.40,1
1035,1,4356,0.42,0.04,0.13,0.06,4864.91,0,0.57,0
225,0,3356,0.68,0.32,0.40,0.22,5615.45,0,0.57,1
269,0,3052,0.93,0.50,0.25,0.13,12904.58,1,0.44,1
308,0,2007,0.96,0.06,0.01,0.36,10952.28,0,0.56,1
161,1,3309,0.23,0.22,0.04,0.29,7014.18,1,0.23,0
1556,0,2600,0.24,0.15,0.10,0.11,990.30,1,0.19,0
1530,0,4415,0.42,0.21,0.18,0.31,1248.65,0,0.47,1
